# STATION: KMSN
# STATION NAME: Madison, Dane County Regional-Truax Field
# LATITUDE: 43.14056
# LONGITUDE: -89.34528
# ELEVATION [ft]: 860
# STATE: WI
Station_ID,Date_Time,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1
,,Fahrenheit,%,Miles/hour
KMSN,03/14/2016 05:05 CDT,42.08,100.0,0.0
KMSN,03/14/2016 05:18 CDT,42.08,95.91,3.44
KMSN,03/14/2016 05:53 CDT,42.08,93.3,0.0
KMSN,03/14/2016 06:53 CDT,42.08,93.3,0.0
KMSN,03/14/2016 07:42 CDT,41.0,93.24,0.0
KMSN,03/14/2016 07:53 CDT,42.08,93.3,0.0
KMSN,03/14/2016 08:31 CDT,42.08,86.99,3.44
KMSN,03/14/2016 08:53 CDT,42.98,93.3,5.75
KMSN,03/14/2016 09:53 CDT,44.06,87.09,5.75
KMSN,03/14/2016 10:53 CDT,46.04,87.19,5.75
KMSN,03/14/2016 11:11 CDT,46.94,87.19,5.75
KMSN,03/14/2016 11:53 CDT,48.02,81.48,3.44
KMSN,03/14/2016 12:53 CDT,48.92,81.48,4.61
KMSN,03/14/2016 13:53 CDT,51.08,76.35,0.0
KMSN,03/14/2016 14:06 CDT,51.08,76.35,0.0
KMSN,03/14/2016 14:42 CDT,53.06,71.47,4.61
KMSN,03/14/2016 14:53 CDT,53.06,71.47,0.0
KMSN,03/14/2016 15:53 CDT,53.06,71.47,3.44
KMSN,03/14/2016 16:53 CDT,55.04,66.93,0.0
KMSN,03/14/2016 17:53 CDT,55.04,66.93,0.0
KMSN,03/14/2016 18:53 CDT,53.96,71.47,8.05
KMSN,03/14/2016 19:27 CDT,53.06,71.47,5.75
KMSN,03/14/2016 19:53 CDT,51.98,76.35,5.75
KMSN,03/14/2016 20:53 CDT,48.92,87.28,5.75
KMSN,03/14/2016 21:53 CDT,44.96,87.09,0.0
KMSN,03/14/2016 22:53 CDT,46.94,93.4,4.61
KMSN,03/14/2016 23:53 CDT,44.06,93.35,5.75
KMSN,03/15/2016 00:53 CDT,44.06,93.35,0.0
KMSN,03/15/2016 01:16 CDT,39.92,100.0,5.75
KMSN,03/15/2016 01:21 CDT,39.92,93.19,4.61
KMSN,03/15/2016 01:30 CDT,39.92,93.19,3.44
KMSN,03/15/2016 01:38 CDT,39.92,100.0,5.75
KMSN,03/15/2016 01:53 CDT,41.0,93.24,0.0
KMSN,03/15/2016 02:06 CDT,41.0,95.89,0.0
KMSN,03/15/2016 02:14 CDT,39.92,96.55,0.0
KMSN,03/15/2016 02:34 CDT,41.0,95.89,0.0
KMSN,03/15/2016 02:53 CDT,39.92,100.0,3.44
KMSN,03/15/2016 03:00 CDT,39.92,96.55,3.44
KMSN,03/15/2016 03:06 CDT,39.92,96.55,3.44
KMSN,03/15/2016 03:09 CDT,39.92,100.0,3.44
KMSN,03/15/2016 03:15 CDT,39.92,100.0,6.91
KMSN,03/15/2016 03:18 CDT,41.0,92.59,5.75
KMSN,03/15/2016 03:32 CDT,44.06,93.35,5.75
KMSN,03/15/2016 03:48 CDT,44.6,100.0,8.05
KMSN,03/15/2016 03:53 CDT,44.06,100.0,9.22
KMSN,03/15/2016 04:04 CDT,44.06,95.95,6.91
KMSN,03/15/2016 04:48 CDT,44.6,100.0,8.05
KMSN,03/15/2016 04:53 CDT,44.96,100.0,9.22
KMSN,03/15/2016 05:02 CDT,44.96,100.0,8.05
KMSN,03/15/2016 05:19 CDT,44.96,96.63,10.36
KMSN,03/15/2016 05:44 CDT,44.06,100.0,8.05
KMSN,03/15/2016 05:53 CDT,44.06,100.0,9.22
KMSN,03/15/2016 06:53 CDT,44.96,100.0,9.22
KMSN,03/15/2016 07:53 CDT,44.96,100.0,11.5
KMSN,03/15/2016 08:53 CDT,46.04,93.4,10.36
KMSN,03/15/2016 09:53 CDT,46.04,93.4,16.11
KMSN,03/15/2016 10:53 CDT,46.94,100.0,14.97
KMSN,03/15/2016 11:33 CDT,48.02,87.28,18.41
KMSN,03/15/2016 11:53 CDT,48.92,93.45,11.5
KMSN,03/15/2016 12:22 CDT,50.0,81.61,13.8
KMSN,03/15/2016 12:44 CDT,51.08,81.75,11.5
KMSN,03/15/2016 12:53 CDT,50.0,87.38,12.66
KMSN,03/15/2016 13:53 CDT,51.08,81.75,6.91
KMSN,03/15/2016 14:35 CDT,51.08,81.75,12.66
KMSN,03/15/2016 14:53 CDT,51.08,81.75,13.8
KMSN,03/15/2016 15:19 CDT,50.0,87.38,13.8
KMSN,03/15/2016 15:28 CDT,50.0,87.38,14.97
KMSN,03/15/2016 15:53 CDT,50.0,87.38,9.22
KMSN,03/15/2016 16:40 CDT,50.0,87.38,11.5
KMSN,03/15/2016 16:48 CDT,50.0,87.38,10.36
KMSN,03/15/2016 16:53 CDT,51.08,81.75,11.5
KMSN,03/15/2016 17:21 CDT,50.0,87.38,10.36
KMSN,03/15/2016 17:53 CDT,48.92,93.45,11.5
KMSN,03/15/2016 18:53 CDT,48.92,87.28,12.66
KMSN,03/15/2016 19:20 CDT,48.02,87.28,12.66
KMSN,03/15/2016 19:53 CDT,46.94,87.19,13.8
KMSN,03/15/2016 20:17 CDT,46.94,89.65,16.11
KMSN,03/15/2016 20:53 CDT,48.92,87.28,17.27
KMSN,03/16/2016 02:11 CDT,46.94,93.4,6.91
KMSN,03/16/2016 02:42 CDT,46.94,92.78,8.05
KMSN,03/16/2016 02:51 CDT,46.4,93.4,9.22
KMSN,03/16/2016 02:53 CDT,46.94,93.4,9.22
KMSN,03/16/2016 03:02 CDT,46.94,93.4,8.05
KMSN,03/16/2016 03:15 CDT,46.94,93.4,8.05
KMSN,03/16/2016 03:17 CDT,46.94,92.78,6.91
KMSN,03/16/2016 03:53 CDT,46.04,93.4,8.05
KMSN,03/16/2016 04:53 CDT,44.96,93.35,8.05
KMSN,03/16/2016 05:53 CDT,44.96,93.35,12.66
KMSN,03/16/2016 06:53 CDT,44.96,87.09,11.5
KMSN,03/16/2016 07:53 CDT,42.98,86.99,20.71
KMSN,03/16/2016 08:53 CDT,44.06,75.67,10.36
KMSN,03/16/2016 09:23 CDT,44.06,75.67,14.97
KMSN,03/16/2016 09:53 CDT,44.96,70.47,13.8
KMSN,03/16/2016 10:03 CDT,44.06,75.67,13.8
KMSN,03/16/2016 10:26 CDT,44.96,70.47,16.11
KMSN,03/16/2016 10:53 CDT,44.96,70.47,13.8
KMSN,03/16/2016 11:53 CDT,44.06,65.6,13.8
KMSN,03/16/2016 12:53 CDT,46.94,61.27,21.85
KMSN,03/16/2016 13:53 CDT,51.08,37.36,13.8
KMSN,03/16/2016 14:53 CDT,53.06,37.66,17.27
KMSN,03/16/2016 15:53 CDT,53.06,34.97,16.11
KMSN,03/16/2016 16:53 CDT,51.98,37.36,20.71
KMSN,03/16/2016 17:53 CDT,48.92,39.63,23.02
KMSN,03/16/2016 18:53 CDT,48.02,39.63,21.85
KMSN,03/16/2016 19:53 CDT,46.94,45.7,8.05
KMSN,03/16/2016 20:53 CDT,46.04,45.7,12.66
KMSN,03/16/2016 21:53 CDT,44.06,48.93,9.22
KMSN,03/16/2016 22:53 CDT,44.96,48.93,9.22
KMSN,03/16/2016 23:53 CDT,44.06,52.7,8.05
KMSN,03/17/2016 00:53 CDT,42.08,65.37,9.22
KMSN,03/17/2016 01:53 CDT,42.08,65.37,9.22
KMSN,03/17/2016 02:53 CDT,41.0,65.13,9.22
KMSN,03/17/2016 03:53 CDT,39.92,69.85,8.05
KMSN,03/17/2016 04:53 CDT,39.92,69.85,8.05
KMSN,03/17/2016 05:53 CDT,39.02,64.9,9.22
KMSN,03/17/2016 06:53 CDT,39.02,60.26,8.05
KMSN,03/17/2016 07:53 CDT,39.02,55.91,10.36
KMSN,03/17/2016 08:53 CDT,41.0,52.13,11.5
KMSN,03/17/2016 09:53 CDT,42.98,48.64,13.8
KMSN,03/17/2016 10:53 CDT,44.96,42.1,13.8
KMSN,03/17/2016 11:53 CDT,48.02,36.75,10.36
KMSN,03/17/2016 12:53 CDT,48.92,36.75,16.11
KMSN,03/17/2016 13:53 CDT,51.98,34.67,16.11
KMSN,03/17/2016 14:53 CDT,51.08,34.67,14.97
KMSN,03/17/2016 15:53 CDT,51.08,32.15,11.5
KMSN,03/17/2016 16:53 CDT,50.0,31.84,6.91
KMSN,03/17/2016 17:53 CDT,50.0,31.84,6.91
KMSN,03/17/2016 18:53 CDT,48.92,34.05,10.36
KMSN,03/17/2016 19:53 CDT,46.04,36.44,10.36
KMSN,03/17/2016 20:53 CDT,44.06,42.1,8.05
KMSN,03/17/2016 21:53 CDT,42.08,48.64,6.91
KMSN,03/17/2016 22:53 CDT,37.94,47.75,9.22
KMSN,03/17/2016 23:53 CDT,35.06,55.36,4.61
KMSN,03/18/2016 00:53 CDT,35.96,64.42,10.36
KMSN,03/18/2016 01:53 CDT,35.06,69.43,10.36
KMSN,03/18/2016 02:20 CDT,35.06,74.78,5.75
KMSN,03/18/2016 02:53 CDT,35.06,74.78,6.91
KMSN,03/18/2016 03:11 CDT,35.06,74.78,8.05
KMSN,03/18/2016 03:53 CDT,35.06,74.78,8.05
KMSN,03/18/2016 04:27 CDT,35.06,74.78,4.61
KMSN,03/18/2016 04:53 CDT,35.06,74.78,8.05
KMSN,03/18/2016 05:53 CDT,35.06,74.78,6.91
KMSN,03/18/2016 06:53 CDT,35.06,74.78,8.05
KMSN,03/18/2016 07:53 CDT,35.96,74.78,8.05
KMSN,03/18/2016 08:53 CDT,35.96,80.49,8.05
KMSN,03/18/2016 09:53 CDT,37.94,74.96,6.91
KMSN,03/18/2016 10:53 CDT,39.02,75.14,4.61
KMSN,03/18/2016 11:53 CDT,37.94,80.63,5.75
KMSN,03/18/2016 12:53 CDT,39.92,69.85,0.0
KMSN,03/18/2016 13:53 CDT,39.92,69.85,4.61
KMSN,03/18/2016 14:53 CDT,39.92,69.85,4.61
KMSN,03/18/2016 15:14 CDT,39.92,69.85,0.0
KMSN,03/18/2016 15:53 CDT,39.92,69.85,3.44
KMSN,03/18/2016 16:53 CDT,39.92,64.9,0.0
KMSN,03/18/2016 17:53 CDT,39.02,64.9,4.61
KMSN,03/18/2016 18:53 CDT,39.02,64.9,3.44
KMSN,03/18/2016 19:53 CDT,37.94,69.64,0.0
KMSN,03/18/2016 20:53 CDT,37.94,74.96,5.75
KMSN,03/18/2016 21:16 CDT,37.04,74.96,8.05
KMSN,03/18/2016 21:53 CDT,37.04,74.96,8.05
KMSN,03/18/2016 22:53 CDT,35.96,80.49,6.91
KMSN,03/18/2016 23:53 CDT,35.06,80.49,5.75
KMSN,03/19/2016 00:53 CDT,35.06,80.49,11.5
KMSN,03/19/2016 01:40 CDT,33.98,80.34,12.66
KMSN,03/19/2016 01:53 CDT,33.98,80.34,11.5
KMSN,03/19/2016 02:30 CDT,33.08,74.6,12.66
KMSN,03/19/2016 02:53 CDT,33.08,69.22,8.05
KMSN,03/19/2016 03:53 CDT,33.08,74.6,6.91
KMSN,03/19/2016 04:53 CDT,32.0,80.19,8.05
KMSN,03/19/2016 05:53 CDT,32.0,80.19,5.75
KMSN,03/19/2016 06:09 CDT,32.0,80.19,6.91
KMSN,03/19/2016 06:46 CDT,30.92,86.26,6.91
KMSN,03/19/2016 06:53 CDT,32.0,80.19,6.91
KMSN,03/19/2016 07:53 CDT,30.92,80.04,8.05
KMSN,03/19/2016 08:53 CDT,33.08,69.22,10.36
KMSN,03/19/2016 09:53 CDT,35.06,69.43,10.36
KMSN,03/19/2016 10:02 CDT,35.96,69.43,10.36
KMSN,03/19/2016 10:53 CDT,37.04,69.64,6.91
KMSN,03/19/2016 11:53 CDT,39.02,64.9,8.05
KMSN,03/19/2016 12:45 CDT,39.92,64.9,3.44
KMSN,03/19/2016 12:53 CDT,41.0,60.51,9.22
KMSN,03/19/2016 13:43 CDT,41.0,65.13,8.05
KMSN,03/19/2016 13:53 CDT,41.0,60.51,8.05
KMSN,03/19/2016 14:53 CDT,41.0,65.13,13.8
KMSN,03/19/2016 15:53 CDT,41.0,65.13,11.5
KMSN,03/19/2016 16:03 CDT,39.92,69.85,14.97
KMSN,03/19/2016 16:40 CDT,39.92,64.9,14.97
KMSN,03/19/2016 16:53 CDT,39.02,69.85,11.5
KMSN,03/19/2016 17:23 CDT,37.94,74.96,17.27
KMSN,03/19/2016 17:53 CDT,37.04,74.96,11.5
KMSN,03/19/2016 18:06 CDT,37.94,74.96,12.66
KMSN,03/19/2016 18:53 CDT,37.04,69.64,13.8
KMSN,03/19/2016 19:53 CDT,35.96,74.78,8.05
KMSN,03/19/2016 20:53 CDT,35.06,74.78,5.75
KMSN,03/19/2016 21:19 CDT,33.08,74.6,5.75
KMSN,03/19/2016 21:53 CDT,33.98,80.34,5.75
KMSN,03/19/2016 22:19 CDT,33.98,80.34,3.44
KMSN,03/19/2016 22:53 CDT,35.06,74.78,3.44
KMSN,03/19/2016 23:53 CDT,33.98,80.34,5.75
KMSN,03/20/2016 00:53 CDT,33.98,80.34,4.61
KMSN,03/20/2016 01:53 CDT,32.0,80.19,4.61
KMSN,03/20/2016 02:53 CDT,32.0,74.41,4.61
KMSN,03/20/2016 03:53 CDT,30.92,74.22,3.44
KMSN,03/20/2016 04:53 CDT,30.02,80.04,0.0
KMSN,03/20/2016 05:53 CDT,30.02,80.04,0.0
KMSN,03/20/2016 06:53 CDT,28.04,86.15,0.0
KMSN,03/20/2016 07:53 CDT,28.94,86.15,0.0
KMSN,03/20/2016 08:53 CDT,33.08,69.22,4.61
KMSN,03/20/2016 09:32 CDT,35.96,64.42,6.91
KMSN,03/20/2016 09:53 CDT,35.06,51.27,5.75
KMSN,03/20/2016 10:53 CDT,37.94,55.64,3.44
KMSN,03/20/2016 11:53 CDT,41.0,48.34,11.5
KMSN,03/20/2016 12:53 CDT,41.0,48.34,5.75
KMSN,03/20/2016 13:53 CDT,41.0,44.8,9.22
KMSN,03/20/2016 14:53 CDT,44.06,42.1,10.36
KMSN,03/20/2016 15:53 CDT,44.06,39.02,14.97
KMSN,03/20/2016 16:53 CDT,44.06,36.13,12.66
KMSN,03/20/2016 17:53 CDT,44.06,36.13,11.5
KMSN,03/20/2016 18:53 CDT,41.0,41.49,6.91
KMSN,03/20/2016 19:53 CDT,39.02,44.49,4.61
KMSN,03/20/2016 20:53 CDT,37.04,47.75,4.61
KMSN,03/20/2016 21:53 CDT,35.06,55.36,3.44
KMSN,03/20/2016 22:53 CDT,35.06,55.36,4.61
KMSN,03/20/2016 23:53 CDT,33.98,59.48,5.75
KMSN,03/21/2016 00:53 CDT,32.0,63.94,5.75
KMSN,03/21/2016 01:53 CDT,32.0,59.21,5.75
KMSN,03/21/2016 02:53 CDT,30.02,58.95,4.61
KMSN,03/21/2016 03:53 CDT,28.04,68.56,3.44
